15:12:44.8331 [INFO] uart5: [output] CANTRIP> [sreplay_app mltest best_fit
15:12:44.8332 [INFO] uart5: [virt: 2.21s (+12.2ms)] CANTRIP> [sreplay_app mltest best_fit
15:12:45.3558 [INFO] uart5: [virt:   2.3s (+1.6ms)] {'bytes in-use': 207104, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2516480, 'bytes requested': 207104, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 54}
15:12:45.3671 [INFO] uart5: [output] {'bytes in-use': 211200, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2512384, 'bytes requested': 211200, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 55}
15:12:45.3672 [INFO] uart5: [virt:   2.3s (+1.6ms)] {'bytes in-use': 211200, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2512384, 'bytes requested': 211200, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 55}
15:12:45.3786 [INFO] uart5: [output] {'bytes in-use': 215296, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2508288, 'bytes requested': 215296, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 56}
15:12:45.3786 [INFO] uart5: [virt:   2.3s (+1.5ms)] {'bytes in-use': 215296, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2508288, 'bytes requested': 215296, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 56}
15:12:45.3936 [INFO] uart5: [output] {'bytes in-use': 219392, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2504192, 'bytes requested': 219392, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 57}
15:12:45.3937 [INFO] uart5: [virt:   2.3s (+1.6ms)] {'bytes in-use': 219392, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2504192, 'bytes requested': 219392, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 57}
15:12:45.4106 [INFO] uart5: [output] {'bytes in-use': 223488, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2500096, 'bytes requested': 223488, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 58}
15:12:45.4107 [INFO] uart5: [virt:   2.3s (+1.6ms)] {'bytes in-use': 223488, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2500096, 'bytes requested': 223488, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 58}
15:12:45.4248 [INFO] uart5: [output] {'bytes in-use': 227584, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2496000, 'bytes requested': 227584, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 59}
