01:28:09.9766 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 1 2 1 2 3 0 3 best_fit
01:28:09.9767 [INFO] uart5: [virt: 3.79s (+13.3ms)] CANTRIP> [sreplay_seq_app  0 1 2 1 2 3 0 3 best_fit
01:28:10.4442 [INFO] uart5: [virt:  3.86s (+1.3ms)] {'bytes in-use': 280128, 'bytes free': 2443456, 'bytes requested': 280128, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 79}
01:28:10.4555 [INFO] uart5: [output] {'bytes in-use': 284224, 'bytes free': 2439360, 'bytes requested': 284224, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 80}
01:28:10.4556 [INFO] uart5: [virt:  3.86s (+1.2ms)] {'bytes in-use': 284224, 'bytes free': 2439360, 'bytes requested': 284224, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 80}
01:28:10.4656 [INFO] uart5: [output] {'bytes in-use': 288320, 'bytes free': 2435264, 'bytes requested': 288320, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 81}
01:28:10.4656 [INFO] uart5: [virt:  3.87s (+1.3ms)] {'bytes in-use': 288320, 'bytes free': 2435264, 'bytes requested': 288320, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 81}
01:28:10.4763 [INFO] uart5: [output] {'bytes in-use': 292416, 'bytes free': 2431168, 'bytes requested': 292416, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 82}
01:28:10.4764 [INFO] uart5: [virt:  3.87s (+1.8ms)] {'bytes in-use': 292416, 'bytes free': 2431168, 'bytes requested': 292416, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 82}
01:28:10.4859 [INFO] uart5: [output] {'bytes in-use': 296512, 'bytes free': 2427072, 'bytes requested': 296512, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 83}
01:28:10.4861 [INFO] uart5: [virt:  3.87s (+1.2ms)] {'bytes in-use': 296512, 'bytes free': 2427072, 'bytes requested': 296512, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 83}
01:28:10.4993 [INFO] uart5: [output] {'bytes in-use': 300608, 'bytes free': 2422976, 'bytes requested': 300608, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 84}
01:28:10.4994 [INFO] uart5: [virt:  3.87s (+1.3ms)] {'bytes in-use': 300608, 'bytes free': 2422976, 'bytes requested': 300608, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 84}
01:28:10.5101 [INFO] uart5: [output] {'bytes in-use': 304704, 'bytes free': 2418880, 'bytes requested': 304704, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 85}
01:28:10.5102 [INFO] uart5: [virt:  3.87s (+1.2ms)] {'bytes in-use': 304704, 'bytes free': 2418880, 'bytes requested': 304704, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 85}
01:28:10.5214 [INFO] uart5: [output] {'bytes in-use': 308800, 'bytes free': 2414784, 'bytes requested': 308800, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 86}
01:28:10.5215 [INFO] uart5: [virt:  3.87s (+1.3ms)] {'bytes in-use': 308800, 'bytes free': 2414784, 'bytes requested': 308800, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 86}
01:28:10.5312 [INFO] uart5: [output] {'bytes in-use': 312896, 'bytes free': 2410688, 'bytes requested': 312896, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 87}
01:28:10.5313 [INFO] uart5: [virt:  3.87s (+1.3ms)] {'bytes in-use': 312896, 'bytes free': 2410688, 'bytes requested': 312896, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 87}
01:28:10.5409 [INFO] uart5: [output] {'bytes in-use': 316992, 'bytes free': 2406592, 'bytes requested': 316992, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 88}
01:28:10.5410 [INFO] uart5: [virt:  3.87s (+1.2ms)] {'bytes in-use': 316992, 'bytes free': 2406592, 'bytes requested': 316992, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 88}
01:28:10.5508 [INFO] uart5: [output] {'bytes in-use': 321088, 'bytes free': 2402496, 'bytes requested': 321088, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 89}
01:28:10.5509 [INFO] uart5: [virt:  3.88s (+1.3ms)] {'bytes in-use': 321088, 'bytes free': 2402496, 'bytes requested': 321088, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 89}
01:28:10.5587 [INFO] uart5: [output] {'bytes in-use': 325184, 'bytes free': 2398400, 'bytes requested': 325184, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 90}
01:28:10.5588 [INFO] uart5: [virt:  3.88s (+1.2ms)] {'bytes in-use': 325184, 'bytes free': 2398400, 'bytes requested': 325184, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 90}
01:28:10.5705 [INFO] uart5: [output] {'bytes in-use': 329280, 'bytes free': 2394304, 'bytes requested': 329280, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 91}
01:28:10.5706 [INFO] uart5: [virt:  3.88s (+1.3ms)] {'bytes in-use': 329280, 'bytes free': 2394304, 'bytes requested': 329280, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 91}
01:28:10.5820 [INFO] uart5: [output] {'bytes in-use': 333376, 'bytes free': 2390208, 'bytes requested': 333376, 'lhs fragmentation': 0, 'in-between fragmentation': 10176, 'objs in-use': 92}
