00:05:51.5569 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 false best_fit
00:05:51.5570 [INFO] uart5: [virt: 7.71s (+14.8ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 false best_fit
00:05:51.5578 [INFO] uart5: [output] Begin synthetic workload!
00:05:52.1976 [INFO] uart5: [virt:   7.8s (+1.2ms)] {'bytes in-use': 37952, 'bytes free': 2685632, 'bytes requested': 112512, 'lhs fragmentation': 48, 'in-between fragmentation': 432, 'objs in-use': 14}
00:05:52.2107 [INFO] uart5: [output] {'bytes in-use': 37936, 'bytes free': 2685648, 'bytes requested': 112512, 'lhs fragmentation': 64, 'in-between fragmentation': 432, 'objs in-use': 13}
00:05:52.2109 [INFO] uart5: [virt:   7.8s (+1.2ms)] {'bytes in-use': 37936, 'bytes free': 2685648, 'bytes requested': 112512, 'lhs fragmentation': 64, 'in-between fragmentation': 432, 'objs in-use': 13}
00:05:52.2270 [INFO] uart5: [output] {'bytes in-use': 37904, 'bytes free': 2685680, 'bytes requested': 112512, 'lhs fragmentation': 96, 'in-between fragmentation': 432, 'objs in-use': 12}
00:05:52.2271 [INFO] uart5: [virt:   7.8s (+1.3ms)] {'bytes in-use': 37904, 'bytes free': 2685680, 'bytes requested': 112512, 'lhs fragmentation': 96, 'in-between fragmentation': 432, 'objs in-use': 12}
00:05:52.2398 [INFO] uart5: [output] {'bytes in-use': 33808, 'bytes free': 2689776, 'bytes requested': 112512, 'lhs fragmentation': 96, 'in-between fragmentation': 432, 'objs in-use': 11}
00:05:52.2399 [INFO] uart5: [virt:  7.81s (+1.2ms)] {'bytes in-use': 33808, 'bytes free': 2689776, 'bytes requested': 112512, 'lhs fragmentation': 96, 'in-between fragmentation': 432, 'objs in-use': 11}
00:05:52.2529 [INFO] uart5: [output] {'bytes in-use': 33296, 'bytes free': 2690288, 'bytes requested': 112512, 'lhs fragmentation': 96, 'in-between fragmentation': 432, 'objs in-use': 10}
00:05:52.2530 [INFO] uart5: [virt:  7.81s (+1.3ms)] {'bytes in-use': 33296, 'bytes free': 2690288, 'bytes requested': 112512, 'lhs fragmentation': 96, 'in-between fragmentation': 432, 'objs in-use': 10}
00:05:52.2674 [INFO] uart5: [output] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 112512, 'lhs fragmentation': 80, 'in-between fragmentation': 432, 'objs in-use': 9}
00:05:52.2675 [INFO] uart5: [virt:  7.81s (+1.2ms)] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 112512, 'lhs fragmentation': 80, 'in-between fragmentation': 432, 'objs in-use': 9}
00:05:52.2819 [INFO] uart5: [output] {'bytes in-use': 33792, 'bytes free': 2689792, 'bytes requested': 113024, 'lhs fragmentation': 80, 'in-between fragmentation': 432, 'objs in-use': 10}
00:05:52.2820 [INFO] uart5: [virt:  7.81s (+1.2ms)] {'bytes in-use': 33792, 'bytes free': 2689792, 'bytes requested': 113024, 'lhs fragmentation': 80, 'in-between fragmentation': 432, 'objs in-use': 10}
00:05:52.2884 [INFO] uart5: [output] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 113024, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
00:05:52.2884 [INFO] uart5: [virt:  7.81s (+1.3ms)] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 113024, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
