13:26:53.6091 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 latency best_fit
13:26:53.6092 [INFO] uart5: [virt: 14.84s (+14.4ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 latency best_fit
13:26:53.6102 [INFO] uart5: [output] Begin synthetic workload!
13:26:53.8608 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 132208, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41456, 'obj-in-use': 24, 'instruction count': 5317, 'allocation': true}
13:26:53.8609 [INFO] uart5: [virt:  14.87s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 132208, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 41456, 'obj-in-use': 24, 'instruction count': 5317, 'allocation': true}
13:26:53.8712 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 132208, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33264, 'obj-in-use': 23, 'instruction count': 127719, 'allocation': false}
13:26:53.8712 [INFO] uart5: [virt:  14.88s (+1.8ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 132208, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33264, 'obj-in-use': 23, 'instruction count': 127719, 'allocation': false}
13:26:53.8762 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 148592, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 49648, 'obj-in-use': 24, 'instruction count': 14088, 'allocation': true}
13:26:53.8763 [INFO] uart5: [virt:  14.88s (+0.8ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 148592, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 49648, 'obj-in-use': 24, 'instruction count': 14088, 'allocation': true}
13:26:53.8849 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 148592, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 49616, 'obj-in-use': 23, 'instruction count': 1626, 'allocation': false}
13:26:53.8850 [INFO] uart5: [virt:  14.88s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 148592, 'slab resets': 5,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 49616, 'obj-in-use': 23, 'instruction count': 1626, 'allocation': false}
13:26:53.8928 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 148592, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33232, 'obj-in-use': 22, 'instruction count': 253989, 'allocation': false}
13:26:53.8929 [INFO] uart5: [virt:  14.88s (+3.1ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 148592, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33232, 'obj-in-use': 22, 'instruction count': 253989, 'allocation': false}
13:26:53.9028 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 148624, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33264, 'obj-in-use': 23, 'instruction count': 5347, 'allocation': true}
13:26:53.9029 [INFO] uart5: [virt:  14.88s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 148624, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33264, 'obj-in-use': 23, 'instruction count': 5347, 'allocation': true}
13:26:53.9089 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 148640, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33280, 'obj-in-use': 24, 'instruction count': 5220, 'allocation': true}
13:26:53.9091 [INFO] uart5: [virt:  14.88s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 148640, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33280, 'obj-in-use': 24, 'instruction count': 5220, 'allocation': true}
13:26:53.9183 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 148656, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33296, 'obj-in-use': 25, 'instruction count': 5346, 'allocation': true}
13:26:53.9184 [INFO] uart5: [virt:  14.88s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 148656, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 33296, 'obj-in-use': 25, 'instruction count': 5346, 'allocation': true}
13:26:53.9247 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 152752, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 37392, 'obj-in-use': 26, 'instruction count': 5209, 'allocation': true}
13:26:53.9249 [INFO] uart5: [virt:  14.88s (+0.7ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 152752, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 37392, 'obj-in-use': 26, 'instruction count': 5209, 'allocation': true}
13:26:53.9344 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 153776, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38416, 'obj-in-use': 27, 'instruction count': 5544, 'allocation': true}
13:26:53.9346 [INFO] uart5: [virt:  14.88s (+0.6ms)] cantrip_memory_manager::memory_manager::{'bytes requested': 153776, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38416, 'obj-in-use': 27, 'instruction count': 5544, 'allocation': true}
13:26:53.9458 [INFO] uart5: [output] cantrip_memory_manager::memory_manager::{'bytes requested': 153776, 'slab resets': 6,'untyped_too_small': 0, 'oom': 0, 'bytes in-use': 38384, 'obj-in-use': 26, 'instruction count': 1748, 'allocation': false}
