13:34:45.2297 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile next_fit
13:34:45.2298 [INFO] uart5: [virt: 20.17s (+17.2ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile next_fit
13:34:45.2308 [INFO] uart5: [output] Begin synthetic workload!
13:34:45.6272 [INFO] uart5: [output] {'bytes in-use': 71024, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652560, 'bytes requested': 99728, 'lhs fragmentation': 12320, 'in-between fragmentation': 14992, 'objs in-use': 33}
13:34:45.6273 [INFO] uart5: [virt:  20.23s (+1.6ms)] {'bytes in-use': 71024, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652560, 'bytes requested': 99728, 'lhs fragmentation': 12320, 'in-between fragmentation': 14992, 'objs in-use': 33}
13:34:45.6504 [INFO] uart5: [output] {'bytes in-use': 71088, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652496, 'bytes requested': 99792, 'lhs fragmentation': 12320, 'in-between fragmentation': 15024, 'objs in-use': 34}
13:34:45.6505 [INFO] uart5: [virt: 20.24s (+11.6ms)] {'bytes in-use': 71088, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652496, 'bytes requested': 99792, 'lhs fragmentation': 12320, 'in-between fragmentation': 15024, 'objs in-use': 34}
13:34:45.6629 [INFO] uart5: [output] {'bytes in-use': 71104, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652480, 'bytes requested': 99808, 'lhs fragmentation': 12320, 'in-between fragmentation': 15024, 'objs in-use': 35}
13:34:45.6630 [INFO] uart5: [virt:  20.24s (+1.5ms)] {'bytes in-use': 71104, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652480, 'bytes requested': 99808, 'lhs fragmentation': 12320, 'in-between fragmentation': 15024, 'objs in-use': 35}
13:34:45.6753 [INFO] uart5: [output] {'bytes in-use': 71120, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652464, 'bytes requested': 99824, 'lhs fragmentation': 12320, 'in-between fragmentation': 15024, 'objs in-use': 36}
13:34:45.6754 [INFO] uart5: [virt:  20.24s (+1.6ms)] {'bytes in-use': 71120, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652464, 'bytes requested': 99824, 'lhs fragmentation': 12320, 'in-between fragmentation': 15024, 'objs in-use': 36}
13:34:45.6886 [INFO] uart5: [output] {'bytes in-use': 71104, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652480, 'bytes requested': 99824, 'lhs fragmentation': 12336, 'in-between fragmentation': 15024, 'objs in-use': 35}
13:34:45.6887 [INFO] uart5: [virt:  20.24s (+1.5ms)] {'bytes in-use': 71104, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652480, 'bytes requested': 99824, 'lhs fragmentation': 12336, 'in-between fragmentation': 15024, 'objs in-use': 35}
