10:59:00.9065 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9065 [INFO] uart5: [virt:    17.3s (+16ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9076 [INFO] uart5: [output] Begin synthetic workload!
10:59:00.9077 [INFO] uart5: [virt:   17.3s (+0.1ms)] Begin synthetic workload!
10:59:01.2322 [INFO] uart5: [virt:  17.38s (+1.2ms)] {'bytes in-use': 33264, 'bytes free': 2690320, 'bytes requested': 148624, 'lhs fragmentation': 98976, 'in-between fragmentation': 15248, 'objs in-use': 23}
10:59:01.2415 [INFO] uart5: [output] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 148640, 'lhs fragmentation': 98976, 'in-between fragmentation': 15248, 'objs in-use': 24}
10:59:01.2416 [INFO] uart5: [virt:  17.38s (+1.2ms)] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 148640, 'lhs fragmentation': 98976, 'in-between fragmentation': 15248, 'objs in-use': 24}
10:59:01.2542 [INFO] uart5: [output] {'bytes in-use': 33296, 'bytes free': 2690288, 'bytes requested': 148656, 'lhs fragmentation': 98976, 'in-between fragmentation': 15248, 'objs in-use': 25}
10:59:01.2543 [INFO] uart5: [virt:  17.38s (+1.3ms)] {'bytes in-use': 33296, 'bytes free': 2690288, 'bytes requested': 148656, 'lhs fragmentation': 98976, 'in-between fragmentation': 15248, 'objs in-use': 25}
10:59:01.2664 [INFO] uart5: [output] {'bytes in-use': 37392, 'bytes free': 2686192, 'bytes requested': 152752, 'lhs fragmentation': 98976, 'in-between fragmentation': 19280, 'objs in-use': 26}
10:59:01.2666 [INFO] uart5: [virt:  17.38s (+1.2ms)] {'bytes in-use': 37392, 'bytes free': 2686192, 'bytes requested': 152752, 'lhs fragmentation': 98976, 'in-between fragmentation': 19280, 'objs in-use': 26}
10:59:01.2781 [INFO] uart5: [output] {'bytes in-use': 38416, 'bytes free': 2685168, 'bytes requested': 153776, 'lhs fragmentation': 98976, 'in-between fragmentation': 19280, 'objs in-use': 27}
10:59:01.2782 [INFO] uart5: [virt:  17.38s (+1.3ms)] {'bytes in-use': 38416, 'bytes free': 2685168, 'bytes requested': 153776, 'lhs fragmentation': 98976, 'in-between fragmentation': 19280, 'objs in-use': 27}
10:59:01.2874 [INFO] uart5: [output] {'bytes in-use': 38384, 'bytes free': 2685200, 'bytes requested': 153776, 'lhs fragmentation': 99008, 'in-between fragmentation': 19280, 'objs in-use': 26}
10:59:01.2875 [INFO] uart5: [virt:  17.38s (+1.2ms)] {'bytes in-use': 38384, 'bytes free': 2685200, 'bytes requested': 153776, 'lhs fragmentation': 99008, 'in-between fragmentation': 19280, 'objs in-use': 26}
10:59:01.2976 [INFO] uart5: [output] {'bytes in-use': 38400, 'bytes free': 2685184, 'bytes requested': 153792, 'lhs fragmentation': 99008, 'in-between fragmentation': 19280, 'objs in-use': 27}
10:59:01.2977 [INFO] uart5: [virt:  17.39s (+1.2ms)] {'bytes in-use': 38400, 'bytes free': 2685184, 'bytes requested': 153792, 'lhs fragmentation': 99008, 'in-between fragmentation': 19280, 'objs in-use': 27}
10:59:01.3128 [INFO] uart5: [output] {'bytes in-use': 38912, 'bytes free': 2684672, 'bytes requested': 154304, 'lhs fragmentation': 99008, 'in-between fragmentation': 19776, 'objs in-use': 28}
10:59:01.3129 [INFO] uart5: [virt:  17.39s (+1.3ms)] {'bytes in-use': 38912, 'bytes free': 2684672, 'bytes requested': 154304, 'lhs fragmentation': 99008, 'in-between fragmentation': 19776, 'objs in-use': 28}
10:59:01.3243 [INFO] uart5: [output] {'bytes in-use': 38944, 'bytes free': 2684640, 'bytes requested': 154336, 'lhs fragmentation': 99008, 'in-between fragmentation': 19776, 'objs in-use': 29}
10:59:01.3244 [INFO] uart5: [virt:  17.39s (+1.2ms)] {'bytes in-use': 38944, 'bytes free': 2684640, 'bytes requested': 154336, 'lhs fragmentation': 99008, 'in-between fragmentation': 19776, 'objs in-use': 29}
10:59:01.3372 [INFO] uart5: [output] {'bytes in-use': 38960, 'bytes free': 2684624, 'bytes requested': 154352, 'lhs fragmentation': 99008, 'in-between fragmentation': 19776, 'objs in-use': 30}
10:59:01.3373 [INFO] uart5: [virt:  17.39s (+1.2ms)] {'bytes in-use': 38960, 'bytes free': 2684624, 'bytes requested': 154352, 'lhs fragmentation': 99008, 'in-between fragmentation': 19776, 'objs in-use': 30}
10:59:01.3505 [INFO] uart5: [output] {'bytes in-use': 43056, 'bytes free': 2680528, 'bytes requested': 158448, 'lhs fragmentation': 99008, 'in-between fragmentation': 21776, 'objs in-use': 31}
10:59:01.3506 [INFO] uart5: [virt:  17.39s (+1.3ms)] {'bytes in-use': 43056, 'bytes free': 2680528, 'bytes requested': 158448, 'lhs fragmentation': 99008, 'in-between fragmentation': 21776, 'objs in-use': 31}
10:59:01.3626 [INFO] uart5: [output] {'bytes in-use': 43088, 'bytes free': 2680496, 'bytes requested': 158480, 'lhs fragmentation': 99008, 'in-between fragmentation': 21776, 'objs in-use': 32}
10:59:01.3627 [INFO] uart5: [virt:  17.39s (+1.2ms)] {'bytes in-use': 43088, 'bytes free': 2680496, 'bytes requested': 158480, 'lhs fragmentation': 99008, 'in-between fragmentation': 21776, 'objs in-use': 32}
10:59:01.3759 [INFO] uart5: [output] {'bytes in-use': 43600, 'bytes free': 2679984, 'bytes requested': 158992, 'lhs fragmentation': 99008, 'in-between fragmentation': 22256, 'objs in-use': 33}
10:59:01.3760 [INFO] uart5: [virt:  17.39s (+1.2ms)] {'bytes in-use': 43600, 'bytes free': 2679984, 'bytes requested': 158992, 'lhs fragmentation': 99008, 'in-between fragmentation': 22256, 'objs in-use': 33}
10:59:01.3885 [INFO] uart5: [output] {'bytes in-use': 47696, 'bytes free': 2675888, 'bytes requested': 163088, 'lhs fragmentation': 99008, 'in-between fragmentation': 25328, 'objs in-use': 34}
10:59:01.3886 [INFO] uart5: [virt:  17.39s (+1.3ms)] {'bytes in-use': 47696, 'bytes free': 2675888, 'bytes requested': 163088, 'lhs fragmentation': 99008, 'in-between fragmentation': 25328, 'objs in-use': 34}
10:59:01.4021 [INFO] uart5: [output] {'bytes in-use': 88656, 'bytes free': 2634928, 'bytes requested': 204048, 'lhs fragmentation': 99008, 'in-between fragmentation': 25328, 'objs in-use': 44}
10:59:01.4022 [INFO] uart5: [virt:   17.4s (+1.3ms)] {'bytes in-use': 88656, 'bytes free': 2634928, 'bytes requested': 204048, 'lhs fragmentation': 99008, 'in-between fragmentation': 25328, 'objs in-use': 44}
10:59:01.4122 [INFO] uart5: [output] {'bytes in-use': 88640, 'bytes free': 2634944, 'bytes requested': 204048, 'lhs fragmentation': 99024, 'in-between fragmentation': 25328, 'objs in-use': 43}
10:59:01.4123 [INFO] uart5: [virt:   17.4s (+1.3ms)] {'bytes in-use': 88640, 'bytes free': 2634944, 'bytes requested': 204048, 'lhs fragmentation': 99024, 'in-between fragmentation': 25328, 'objs in-use': 43}
